Jenis pelayanan dokumen pencatatan sipil;Kecamatan;Kelurahan;Jumlah pengajuan dokumen pencatatan sipil di RS, puskesmas dan tempat pemakaman :  laki-laki;Jumlah pengajuan dokumen pencatatan sipil di RS, puskesmas dan tempat pemakaman  :  perempuan;Jumlah pengajuan dokumen di RS, puskesmas dan tempat pemakaman  tepat waktu :  laki-laki;Jumlah pengajuan dokumen di RS, puskesmas dan tempat pemakaman  tepat waktu :  perempuan;Jumlah penduduk yang lahir/mati dan memperoleh akta kelahiran/akta kematian : laki-laki;Jumlah penduduk yang lahir/mati dan memperoleh akta kelahiran/akta kematian : perempuan;Jumlah kelahiran/kematian berdasarkan data SIAK : laki-laki;Jumlah kelahiran/kematian berdasarkan data SIAK : perempuan;Jumlah dokumen diterbitkan :  laki-laki;Jumlah dokumen diterbitkan :  perempuan;Jumlah pelayanan dokumen tepat waktu kurang dari 8 hari :  laki-laki;Jumlah pelayanan dokumen tepat waktu kurang dari 8 hari :  perempuan
Kematian;ASEMROWO;kematian;0;0;0;0;281;222;281;222;281;222;281;222
Kematian;BENOWO;kematian;0;0;0;0;480;441;480;441;480;441;480;441
Kematian;BUBUTAN;kematian;12;12;12;12;890;706;890;706;890;706;890;706
Kematian;BULAK;kematian;1;1;1;1;355;282;355;282;355;282;355;282
Kematian;DUKUH PAKIS;kematian;4;4;4;4;492;357;492;357;492;357;492;357
Kematian;GAYUNGAN;kematian;4;4;4;4;401;329;401;329;401;329;401;329
Kematian;GENTENG;kematian;8;8;8;8;499;443;499;443;499;443;499;443
Kematian;GUBENG;kematian;8;8;8;8;1266;1036;1266;1036;1266;1036;1266;1036
Kematian;GUNUNG ANYAR;kematian;3;3;3;3;460;329;460;329;460;329;460;329
Kematian;JAMBANGAN;kematian;0;0;0;0;454;332;454;332;454;332;454;332
Kematian;KARANG PILANG;kematian;2;2;2;2;601;471;601;471;601;471;601;471
Kematian;KENJERAN;kematian;3;3;3;3;1175;941;1175;941;1175;941;1175;941
Kematian;KREMBANGAN;kematian;2;2;2;2;819;649;819;649;819;649;819;649
Kematian;LAKARSANTRI;kematian;0;0;0;0;441;421;441;421;441;421;441;421
Kematian;MULYOREJO;kematian;13;13;13;13;665;517;665;517;665;517;665;517
Kematian;PABEAN CANTIAN;kematian;8;8;8;8;640;552;640;552;640;552;640;552
Kematian;PAKAL;kematian;0;0;0;0;377;338;377;338;377;338;377;338
Kematian;RUNGKUT;kematian;3;3;3;3;788;620;788;620;788;620;788;620
Kematian;SAMBIKEREP;kematian;0;0;0;0;508;416;508;416;508;416;508;416
Kematian;SAWAHAN;kematian;7;7;7;7;1794;1495;1794;1495;1794;1495;1794;1495
Kematian;SEMAMPIR;kematian;0;0;0;0;1218;959;1218;959;1218;959;1218;959
Kematian;SIMOKERTO;kematian;6;6;6;6;774;615;774;615;774;615;774;615
Kematian;SUKOLILO;kematian;4;4;4;4;817;652;817;652;817;652;817;652
Kematian;SUKOMANUNGGAL;kematian;4;4;4;4;804;618;804;618;804;618;804;618
Kematian;TAMBAKSARI;kematian;0;0;0;0;1866;1448;1866;1448;1866;1448;1866;1448
Kematian;TANDES;kematian;1;1;1;1;814;691;814;691;814;691;814;691
Kematian;TEGALSARI;kematian;6;6;6;6;844;712;844;712;844;712;844;712
Kematian;TENGGILIS MEJOYO;kematian;4;4;4;4;564;419;564;419;564;419;564;419
Kematian;WIYUNG;kematian;4;4;4;4;528;421;528;421;528;421;528;421
Kematian;WONOCOLO;kematian;5;5;5;5;724;551;724;551;724;551;724;551
Kematian;WONOKROMO;kematian;5;5;5;5;1330;1065;1330;1065;1330;1065;1330;1065
